_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
29,"de Marivaux, Pierre|Marivaux, P.|de Marivaux, Pierre Carlet de Chamblain",Le jeu de l'amour et du hasard,9782038717211,Larousse Editions,1730,0,0,French Edition,191,,8.95,Mass Market Paperback,"<p>Marivaux is among the most perfomed of all French playwrights, and ""Le Jeu de l'amour et du hasard"" is his best known play. The play combines the linguistic refinement of the eighteenth-century salons, the intellectual challenge of the dawning Enlightenment, and the imaginative fancy of the Italian actors who first brought it to life. In Marivaux's own day he was accused of writing in a style seen as affected. Today his linguistic subtlety is perceived as being among his great qualities, though it makes his work particularly difficult for the non-native speaker of French. This edition offers an introduction which elucidates the themes of the play by situating them within the wider context of Marivaux's writing, and notes which clarify the originality of Marivaux's style.</p>",Fiction / General,French,2017-10-15 1:56:37,2017-10-15 1:56:37,27107a214ac9820f4c5570df09990dd7
30,"Webb, Suzanne Strobeck|HODGES, ",Hodge's Harbrace College Handbook,9780155081321,Harcourt Brace College Publishers,1997-09-01,0,0,TRAD’L ORG,640,,48.95,Hardcover,"The Thirteenth Edition of Hodges' Harbrace Handbook is the product of an extensive market research effort, involving over 300 faculty members from around the country at both two- and four-year colleges. The resulting product information formed the basis of our revision for the Thirteenth Edition. While retaining the familiar chapter organization that the Harbrace has always had for sections one through five -- Grammar, Mechanics, Punctuation, Spelling and Diction, and Effective Sentences -- the Thirteenth Edition contains more chapters and expanded coverage in the Larger Elements section. Hodges' Harbrace, like our two other versions of the Harbrace, retains our commitment to quality, our commitment to being the most authoritative handbook on the market.",,English,2017-10-15 1:57:04,2017-10-15 1:57:04,6f1b06c1582c99a7f58e54512c1ca0f1
31,"Dudenredaktion, |Scholze-Stubenrecht, Werner|Drosdowski, Günther|Distribooks, Inc","Der Duden in 12 Bäden, Band 2: Das Stilwörterbuch",9783411209026,Bibliographisches Institut & F.A. Brockhaus A,1988-02-01,0,0,Der Duden in 12 Bänden (2)|Part (2),864,,46.95,Hardcover,"More than 100,000 sentences, idioms and stylistic idiosyncrasies of German, alphabetized by key word with definitions and content examples. Pinpoints the subtleties of meaning and usage. Written entirely in German.",,English,2017-10-15 1:57:19,2017-10-15 1:57:19,233a5ac52c286d78b288a603687e8dab
32,"Planet, Lonely",Lonely Planet Spanish Phrasebook & Dictionary,9781742208091,Lonely Planet,2012-03-01,0,0,Lonely Planet Spanish  Phrasebooks,272,,8.99,Paperback,"<i>Lonely Planet: The world's leading travel guide publisher</i><br /><br />You'll be seduced by this melodic language and have fun trying to roll your <em>rr'</em>s like the locals - not to mention ordering scrumptious tapas or engaging in all the shouting at the <em>futbol</em>.<br /><br /><b>Get More From Your Trip with Easy-to-Find Phrases for Every Travel Situation!</b> Lonely Planet Phrasebooks have been connecting travellers and locals for over a quarter of a century - our phrasebooks and mobile apps cover more than any other publisher!<br /><br /><br />Order the right meal with our menu decoder<br />Never get stuck for words with our 3500-word two-way dictionary<br />We make language easy with shortcuts, key phrases &amp; common Q&amp;As<br />Feel at ease, with essential tips on culture &amp; manners<br /><b>Coverage includes:</b> Basics, Practical, Social, Safe Travel, Food!<br /><br />Lonely Planet gets you to the heart of a place. Our job is to make amazing travel experiences happen. We visit the places we write about each and every edition. We never take freebies for positive coverage, so you can always rely on us to tell it like it is.<br /><br /><b>Authors: </b>Written and researched by Lonely Planet, Marta Lopez, and Cristina Hernandez Montero.<br /><br /><b>About Lonely Planet: </b>Started in 1973, Lonely Planet has become the world's leading travel guide publisher with guidebooks to every destination on the planet, as well as an award-winning website, a suite of mobile and digital travel products, and a dedicated traveller community. Lonely Planet's mission is to enable curious travellers to experience the world and to truly get to the heart of the places they find themselves in.<br /><br /><i>TripAdvisor Travelers' Choice Awards 2012 and 2013 winner in Favorite Travel Guide category</i><br /><br /><i>'Lonely Planet guides are, quite simply, like no other.' - New York Times</i><br /><br /><i>'Lonely Planet. It's on everyone's bookshelves; it's in every traveller's hands. It's on mobile phones. It's on the Internet. It's everywhere, and it's telling entire generations of people how to travel the world.' - Fairfax Media (Australia) </i>",Foreign Language Study / Spanish,English,2017-10-15 1:57:35,2017-10-15 1:57:35,7c6c2d591acde4f8d3b480a476f43c3b
33,"Kierkegaard, Søren|Bretall, Robert W.","Kierkegaard Anthology, A",9780691019789,Princeton University Press,1973-11-01,0,0,,528,,35,Paperback,"This anthology covers the whole of Kierkegaard's literary career. The selections range from the terse epigrams of the <i>Journal</i> through the famous -Diary of the Seducer- and the -Banquet- scene, in which Soren Kierkegaard reveals his great lyric and dramatic gifts, on to the philosophical and psychological works of his maturity. These are climaxed by the beautiful and moving religious discourses which accompany them; finally, there is the biting satire of his <i>Attack upon -Christendom.-</i><br /><br />This is emphatically not a collection of -snippets, - but the cream of Kierkegaard, each selection interesting and intelligible in itself, and all ranking among his most important work. They are so arranged as to convey an idea of his remarkable intellectual development.<br /><br />Contents: A comprehensive anthology from the following works: Either/Or Fear and Trembling Stages on Life's Way Works of Love Concluding Unscientific Postscript Attack upon -Christendom- The Sickness Unto Death Philosophical Fragments and others",Religion,English,2017-10-15 1:58:18,2017-10-15 1:58:18,3d1d0447013c717c5d2f6b0319209097
34,"Emerson, Ralph Waldo",Essays: First and Second Series,9780679726128,Vintage,1990-02-19,0,0,The Library of America,432,,15.95,Paperback,"<i>""Emerson's prose is his triumph, both as eloquence and as insight. After Shakespeare, it matches anything else in the language.""</i><br /> -Harold Bloom Here are Ralph Waldo Emerson's classic essays, including the exhortation to ""Self-Reliance,"" the embattled realizations of ""Circles"" and ""Experience,"" and the groundbreaking achievement of ""Nature."" Our most eloquent champion of individualism, Emerson acknowledges at the same time the countervailing pressures of society in American life. Even as he extols what he calls ""the great and crescive self,"" he dramatizes and records its vicissitudes. Also gathered here are his wide-ranging discourses on history, art, politics, friendship, love, and much more.<br /> For almost thirty years, The Library of America has presented America's best and most significant writing in acclaimed hardcover editions. Now, a new series, Library of America Paperback Classics, offers attractive and affordable books that bring The Library of America's authoritative texts within easy reach of every reader. Each book features an introductory essay by one of a leading writer, as well as a detailed chronology of the author's life and career, an essay on the choice and history of the text, and notes.<br /> The contents of this Paperback Classic are drawn from <i>Ralph Waldo Emerson: Essays and Lectures</i>, volume number 15 in the Library of America series. It is joined in the series by three companion volumes, gathering Emerson's poems, translations, and selections from his journals.<br /><br /><br />",Philosophy / General,English,2017-10-15 1:58:35,2017-10-15 1:58:35,8946cd2de3c0646cd1e583143fbbc4c5
35,"Wittgenstein, Ludwig|Rhees, Rush","Blue and Brown Books, The",9780061312113,Harper & Row (NYC et al.),1965-01-01,0,0,Preliminary Studies for the Philosophical Investigations,208,,14.99,Paperback,"These works, as the subtitle makes clear, are unfinished sketches for Philosophical Investigations, among the most important &amp; influential philosophical work of modern times. The 'Blue Book' is a set of notes dictated to Witgenstein's Cambridge students in 1933-34. The 'Brown Book' was a draft for what eventually became the growth of the first part of Philosophical Investigations. This book reveals the germination &amp; growth of the ideas which found their final expression in Witgenstein's later work. It's indispensable therefore to students of Witgenstein's thought &amp; to all those who wish to study at firsthand the mental processes of a thinker who fundamentally changed the course of modern philosophy.<br />Preface<br />The Blue Book<br />The Brown Book<br />Index",Philosophy / General,English,2017-10-15 1:58:44,2017-10-15 1:58:45,0204baaf7826ae47b1c87b30d2745593
36,"Foucault, Michel","Order of Things: An Archaeology of the Human Sciences, The",9780679753353,Vintage,1994-03-29,0,0,,416,,16.95,Paperback,"<i>Librarian note: an alternate cover for this edition can be found <a href=""https://www.goodreads.com/book/show/13611988-the-order-of-things"" rel=""nofollow"">here</a>.</i><br /><br />With vast erudition, Foucault cuts across disciplines and reaches back into seventeenth century to show how classical systems of knowledge, which linked all of nature within a great chain of being and analogies between the stars in the heavens and the features in a human face, gave way to the modern sciences of biology, philology, and political economy. The result is nothing less than an archaeology of the sciences that unearths old patterns of meaning and reveals the shocking arbitrariness of our received truths.<br /><br />In the work that established him as the most important French thinker since Sartre, Michel Foucault offers startling evidence that “man”—man as a subject of scientific knowledge—is at best a recent invention, the result of a fundamental mutation in our culture.",Philosophy / History & Surveys / Modern,English,2017-10-15 1:58:58,2017-10-15 1:58:58,9032f0ba9dabd7c9da9cdfeab58eafe6
37,"Foucault, Michel|Sheridan, Alan|Mathiesen, Thomas|Seitter, Walter|Rotar, Drago Braco",Discipline and Punish: The Birth of the Prison,9780679752554,Vintage,1995-04-25,0,0,,352,,17,Paperback,"<i>Librarian note: an alternate cover for this edition can be found <a href=""https://www.goodreads.com/book/show/17159960-discipline-and-punish"" rel=""nofollow"">here</a>.</i><br /><br />In this brilliant work, the most influential philosopher since Sartre suggests that such vaunted reforms as the abolition of torture and the emergence of the modern penitentiary have merely shifted the focus of punishment from the prisoner’s body to his soul.",Social Science / Penology,English,2017-10-15 1:59:13,2017-10-15 1:59:13,6603a32cf66242af604f65db090581c5
38,"Wright, Robert","Evolution of God, The",9780316067447,Back Bay Books,2010-05-03,0,0,,592,,,Paperback,"In this sweeping, dazzling journey through history, Robert Wright unveils a discovery of crucial importance to the present moment: there is a pattern in the evolution Judaism, Christianity, and Islam, and a ""hidden code"" in their scriptures. Through the prisms of archeology, theology, anthropology, and evolutionary psychology, Wright repeatedly overturns conventional wisdom to show how and why religion can strengthen the social order-even in an age of globalization-and explains why modern science is not only compatible with religion, but actively affirms the validity of the religious quest. Vast in scope and thrilling in ambition, <i>The Evolution of God</i> brilliantly alters our understanding of God and where He came from-and where He and we are going next.",Religion / History,,2017-10-15 2:04:01,2017-10-15 2:04:01,0b31d119f736f10c6b9320f9e937b6af
39,"Stringer, Chris",Lone Survivors: How We Came to Be the Only Humans on Earth,9781250023308,,2011,0,0,,,,,,"<p>\n  <b>A leading researcher on human evolution proposes a new and controversial theory of how our species came to be </b>\n</p><p>In this groundbreaking and engaging work of science, world-renowned paleoanthropologist Chris Stringer sets out a new theory of humanity's origin, challenging both the multiregionalists (who hold that modern humans developed from ancient ancestors in different parts of the world) and his own ""out of Africa"" theory, which maintains that humans emerged rapidly in one small part of Africa and then spread to replace all other humans within and outside the continent. Stringer's new theory, based on archeological and genetic evidence, holds that distinct humans coexisted and competed across the African continent—exchanging genes, tools, and behavioral strategies.</p><p>Stringer draws on analyses of old and new fossils from around the world, DNA studies of Neanderthals (using the full genome map) and other species, and recent archeological digs to unveil his new theory. He shows how the most sensational recent fossil findings fit with his model, and he questions previous concepts (including his own) of modernity and how it evolved. </p><p><i>Lone Survivors</i> will be the definitive account of who and what we were, and will change perceptions about our origins and about what it means to be human.</p>",,,2017-10-15 2:05:22,2017-10-15 2:05:22,67a0e0855fc1c7f192f75ec8775cca71
